tindex	j	i	t	ostat	tstat	surv	diam	dnow	dlast	cones	trt	x	y	ice	nfert	height
353	4	52	8	1	1	1	14.26815157	0.224626611	0.219071289	0	1	-0.79	-6.72	0	0	NA
353	4	52	9	1	1	1	14.49277818	0.205683046	0.224626611	0	1	-0.79	-6.72	0	0	NA
353	4	52	10	3	1	1	14.69846123	0.365793413	0.205683046	2	1	-0.79	-6.72	0	0	NA
353	4	52	11	1	1	1	15.06425464	0.197782389	0.365793413	0	1	-0.79	-6.72	0	0	NA
354	4	53	1	2	0	1	20.17684101	0.564393529	0.564393529	0	1	-1.91	-8.81	0	0	13.1
354	4	53	2	2	0	1	20.74123454	0.575155988	0.564393529	0	1	-1.91	-8.81	0	0	NA
354	4	53	3	3	1	1	21.31639053	0.429730055	0.575155988	2	1	-1.91	-8.81	0	0	NA
354	4	53	4	3	1	1	21.74612058	0.738196933	0.429730055	3	1	-1.91	-8.81	0	0	15.1
354	4	53	5	1	1	1	22.48431752	0.756664691	0.738196933	0	1	-1.91	-8.81	0	0	NA
354	4	53	6	1	1	1	23.24098221	0.6017435	0.756664691	0	1	-1.91	-8.81	0	0	NA
354	4	53	7	3	1	1	23.84272571	0.750113869	0.6017435	1	1	-1.91	-8.81	0	0	NA
354	4	53	8	3	1	1	24.59283958	0.71464215	0.750113869	2	1	-1.91	-8.81	0	0	NA
354	4	53	9	1	1	1	25.30748173	0.749328444	0.71464215	0	1	-1.91	-8.81	0	0	NA
354	4	53	10	3	1	1	26.05681017	0.611159938	0.749328444	1	1	-1.91	-8.81	0	0	NA
354	4	53	11	1	1	1	26.66797011	0.505012785	0.611159938	0	1	-1.91	-8.81	0	0	NA
355	4	54	1	2	0	1	15.20553877	0.669697134	0.669697134	0	1	2.98	-9.39	0	0	NA
355	4	54	2	2	0	1	15.8752359	0.713074022	0.669697134	0	1	2.98	-9.39	0	0	NA
355	4	54	3	3	1	1	16.58830993	0.416315913	0.713074022	2	1	2.98	-9.39	0	0	NA
